Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2012-04,145.3,145.3,149.5,133.6,151.4,123900,123900,126000,117700,126300
2012-05,145.6,145.6,149.6,134.5,150.6,124200,124200,126100,118500,125600
2012-06,144.4,144.4,148.5,132.6,151.8,123200,123200,125200,116800,126600
2012-07,145.4,145.5,149.0,136.0,144.8,124000,124100,125600,119800,120800
2012-08,146.9,147.1,151.7,134.5,145.8,125300,125500,127900,118500,121600
2012-09,147.8,147.9,151.8,137.3,144.6,126100,126200,128000,121000,120600
2012-10,148.3,148.4,153.6,134.1,143.3,126500,126600,129500,118100,119500
2012-11,149.1,149.2,153.5,137.6,141.0,127200,127300,129400,121200,117600
2012-12,150.2,150.4,154.3,140.5,134.3,128100,128300,130100,123800,112000
2013-01,147.8,147.9,152.9,133.9,133.9,126100,126200,128900,118000,111700
2013-02,147.9,148.1,153.6,133.5,134.3,126200,126300,129500,117600,112000
2013-03,148.2,148.3,154.1,132.3,139.3,126400,126500,129900,116600,116200
2013-04,148.7,148.8,153.9,134.3,139.8,126800,126900,129700,118300,116600
2013-05,150.1,150.1,154.9,136.4,144.5,128000,128000,130600,120200,120500
2013-06,149.9,150.1,154.9,136.1,143.2,127900,128000,130600,119900,119400
2013-07,149.6,149.6,153.9,138.4,146.4,127600,127600,129700,121900,122100
2013-08,151.3,151.3,156.0,138.9,147.6,129100,129100,131500,122400,123100
2013-09,151.3,151.3,157.1,135.5,152.3,129100,129100,132400,119400,127000
2013-10,153.3,153.3,159.9,135.4,146.5,130800,130800,134800,119300,122200
2013-11,151.5,151.5,158.4,133.0,146.4,129200,129200,133500,117200,122100
2013-12,153.6,153.6,160.5,135.2,151.2,131000,131000,135300,119100,126100
2014-01,153.0,152.9,159.9,133.4,154.1,130500,130400,134800,117500,128500
2014-02,155.7,155.7,163.3,134.7,156.4,132800,132800,137700,118700,130400
2014-03,156.2,156.2,161.7,140.9,152.5,133200,133200,136300,124100,127200
2014-04,158.1,158.3,163.0,144.2,155.0,134900,135000,137400,127000,129300
2014-05,156.3,156.4,161.1,143.2,154.1,133300,133400,135800,126200,128500
2014-06,156.7,156.9,161.2,143.9,152.0,133700,133800,135900,126800,126800
2014-07,158.3,158.4,164.1,142.3,152.2,135000,135100,138300,125400,126900
2014-08,156.3,156.4,161.2,142.7,151.6,133300,133400,135900,125700,126400
2014-09,156.7,156.7,162.0,141.3,153.4,133700,133700,136600,124500,127900
2014-10,156.7,156.9,161.6,143.0,156.5,133700,133800,136200,126000,130500
2014-11,155.9,155.9,161.6,140.7,157.2,133000,133000,136200,124000,131100
2014-12,156.5,156.5,162.4,140.2,156.6,133500,133500,136900,123500,130600
2015-01,157.3,157.2,163.0,141.5,155.2,134200,134100,137400,124700,129400
2015-02,155.6,155.7,161.7,138.8,157.8,132700,132800,136300,122300,131600
2015-03,154.6,154.7,160.9,137.7,153.1,131900,132000,135600,121300,127700
2015-04,154.5,154.6,162.3,132.1,152.9,131800,131900,136800,116400,127500
2015-05,156.6,156.7,164.4,135.0,148.7,133600,133700,138600,118900,124000
2015-06,157.2,157.2,165.4,134.4,151.3,134100,134100,139400,118400,126200
2015-07,155.5,155.5,163.5,134.2,153.4,132600,132600,137800,118200,127900
2015-08,154.3,154.4,162.0,133.0,149.9,131600,131700,136600,117200,125000
2015-09,155.7,155.8,161.8,138.4,150.1,132800,132900,136400,121900,125200
2015-10,155.3,155.5,161.4,138.5,152.0,132500,132600,136100,122000,126800
2015-11,157.3,157.4,163.0,143.0,153.5,134200,134300,137400,126000,128000
2015-12,158.3,158.4,163.0,145.3,154.8,135000,135100,137400,128000,129100
2016-01,160.1,160.1,164.8,147.3,155.3,136600,136600,138900,129800,129500
2016-02,158.0,158.1,161.1,149.9,153.1,134800,134900,135800,132100,127700
2016-03,157.7,157.7,161.7,146.8,154.4,134500,134500,136300,129300,128800
2016-04,158.0,158.1,161.8,148.0,153.7,134800,134900,136400,130400,128200
2016-05,157.3,157.4,162.2,144.5,154.9,134200,134300,136700,127300,129200
2016-06,157.9,158.0,163.5,143.0,150.8,134700,134800,137800,126000,125800
2016-07,157.1,157.2,163.0,141.8,153.5,134000,134100,137400,124900,128000
2016-08,158.1,158.4,164.1,142.5,153.5,134900,135100,138300,125500,128000
2016-09,157.0,157.1,164.3,136.7,153.6,133900,134000,138500,120400,128100
2016-10,158.0,158.1,164.4,139.8,154.0,134800,134900,138600,123200,128400
2016-11,158.5,158.7,164.7,143.5,152.6,135200,135400,138800,126400,127300
2016-12,156.5,156.6,163.0,138.6,152.5,133500,133600,137400,122100,127200
2017-01,157.8,157.8,164.7,138.9,153.5,134600,134600,138800,122400,128000
2017-02,159.6,159.8,167.6,137.9,151.6,136100,136300,141300,121500,126400
2017-03,159.2,159.4,167.9,136.1,151.6,135800,136000,141500,119900,126400
2017-04,159.0,159.2,167.4,136.0,148.9,135600,135800,141100,119800,124200
2017-05,159.9,160.1,167.6,139.3,147.0,136400,136600,141300,122700,122600
2017-06,159.7,159.9,166.8,140.1,149.3,136200,136400,140600,123400,124500
2017-07,161.3,161.7,168.9,142.0,150.2,137600,137900,142400,125100,125300
2017-08,160.7,160.8,167.5,141.8,152.3,137100,137200,141200,124900,127000
2017-09,162.8,163.2,169.3,145.4,151.9,138900,139200,142700,128100,126700
2017-10,163.1,163.4,170.1,144.4,143.9,139100,139400,143400,127200,120000
2017-11,165.9,166.1,175.8,140.5,150.6,141500,141700,148200,123800,125600
2017-12,166.4,166.6,175.2,141.8,152.4,141900,142100,147700,124900,127100
2018-01,164.9,165.1,173.8,140.5,150.8,140700,140800,146500,123800,125800
2018-02,164.6,164.7,174.4,137.5,154.2,140400,140500,147000,121100,128600
2018-03,165.4,165.5,174.3,141.1,158.2,141100,141200,146900,124300,131900
2018-04,166.4,166.5,174.6,142.7,162.5,141900,142000,147200,125700,135500
2018-05,165.5,165.5,173.5,142.6,163.2,141200,141200,146300,125600,136100
2018-06,165.8,165.9,172.7,146.4,161.3,141400,141500,145600,129000,134500
2018-07,165.7,165.8,173.5,144.5,156.6,141300,141400,146300,127300,130600
2018-08,169.3,169.4,177.2,147.4,156.8,144400,144500,149400,129900,130800
2018-09,170.6,170.7,179.4,146.8,155.5,145500,145600,151200,129300,129700
2018-10,169.9,170.1,178.2,148.0,153.7,144900,145100,150200,130400,128200
2018-11,168.8,169.1,176.3,151.1,154.4,144000,144200,148600,133100,128800
2018-12,169.2,169.5,175.9,152.2,151.8,144300,144600,148300,134100,126600
2019-01,171.4,171.6,177.7,154.9,153.2,146200,146400,149800,136500,127800
2019-02,172.2,172.6,179.5,154.7,152.8,146900,147200,151300,136300,127400
2019-03,172.8,173.0,179.4,156.0,157.3,147400,147600,151200,137400,131200
2019-04,173.0,173.4,180.1,155.2,153.4,147600,147900,151800,136700,127900
2019-05,173.5,173.9,180.3,156.5,154.1,148000,148300,152000,137900,128500
2019-06,174.1,174.3,180.8,156.6,155.3,148500,148700,152400,138000,129500
2019-07,175.8,176.1,182.3,160.0,154.6,150000,150200,153700,141000,128900
2019-08,176.7,177.0,182.9,160.5,153.1,150700,151000,154200,141400,127700
2019-09,177.3,177.7,183.2,162.9,156.5,151200,151600,154400,143500,130500
2019-10,179.2,179.7,185.2,164.6,155.4,152900,153300,156100,145000,129600
2019-11,179.7,180.2,186.0,165.8,158.2,153300,153700,156800,146100,131900
2019-12,181.5,181.7,187.5,166.5,161.8,154800,155000,158100,146700,134900
2020-01,182.2,182.5,188.5,166.9,160.8,155400,155700,158900,147000,134100
2020-02,183.6,184.1,188.3,173.1,161.9,156600,157000,158700,152500,135000
2020-03,184.1,184.5,189.7,170.7,159.8,157000,157400,159900,150400,133300
2020-04,185.1,185.6,190.5,172.4,158.3,157900,158300,160600,151900,132000
2020-05,186.9,187.3,191.5,176.3,159.5,159400,159800,161400,155300,133000
2020-06,189.1,189.6,194.8,175.4,163.1,161300,161700,164200,154500,136000
2020-07,191.0,191.6,197.3,177.4,164.5,162900,163400,166300,156300,137200
2020-08,194.3,194.8,201.1,178.7,168.6,165700,166200,169500,157400,140600
