Month-Year,All-items CPI,Province
1991-09,84.7,NL
1991-10,84.5,NL
1991-11,84.3,NL
1991-12,83.8,NL
1992-01,84.2,NL
1992-02,84.9,NL
1992-03,85.2,NL
1992-04,85.5,NL
1992-05,85.3,NL
1992-06,85.5,NL
1992-07,85.5,NL
1992-08,85.3,NL
1992-09,85.3,NL
1992-10,85.5,NL
1992-11,85.5,NL
1992-12,85.5,NL
1993-01,85.8,NL
1993-02,86.2,NL
1993-03,86.4,NL
1993-04,86.2,NL
1993-05,86.6,NL
1993-06,86.7,NL
1993-07,87.1,NL
1993-08,87.2,NL
1993-09,87.2,NL
1993-10,87.1,NL
1993-11,87,NL
1993-12,87,NL
1994-01,87.3,NL
1994-02,87.2,NL
1994-03,87.4,NL
1994-04,87.5,NL
1994-05,87.8,NL
1994-06,87.8,NL
1994-07,88.1,NL
1994-08,88.2,NL
1994-09,88,NL
1994-10,87.8,NL
1994-11,88.2,NL
1994-12,88.2,NL
1995-01,88.2,NL
1995-02,88.5,NL
1995-03,88.8,NL
1995-04,89.1,NL
1995-05,89.3,NL
1995-06,89.3,NL
1995-07,89.4,NL
1995-08,89.1,NL
1995-09,89,NL
1995-10,89.3,NL
1995-11,89.4,NL
1995-12,89,NL
1996-01,89.4,NL
1996-02,89.6,NL
1996-03,89.5,NL
1996-04,90.1,NL
1996-05,90.5,NL
1996-06,90.5,NL
1996-07,90.4,NL
1996-08,90.5,NL
1996-09,90.8,NL
1996-10,91.3,NL
1996-11,91.4,NL
1996-12,91.2,NL
1997-01,91.8,NL
1997-02,92,NL
1997-03,92.7,NL
1997-04,91.8,NL
1997-05,92,NL
1997-06,92.3,NL
1997-07,92.6,NL
1997-08,92.5,NL
1997-09,92.7,NL
1997-10,92.6,NL
1997-11,92.4,NL
1997-12,92,NL
1998-01,92.5,NL
1998-02,92.7,NL
1998-03,92.4,NL
1998-04,92.5,NL
1998-05,92.4,NL
1998-06,92.4,NL
1998-07,92.7,NL
1998-08,92.7,NL
1998-09,91.8,NL
1998-10,92.8,NL
1998-11,92.7,NL
1998-12,92.1,NL
1999-01,92.1,NL
1999-02,92.5,NL
1999-03,93.1,NL
1999-04,93.3,NL
1999-05,93.9,NL
1999-06,93.9,NL
1999-07,93.9,NL
1999-08,94.3,NL
1999-09,94.5,NL
1999-10,94.6,NL
1999-11,94.8,NL
1999-12,94.7,NL
2000-01,95.2,NL
2000-02,96,NL
2000-03,96.4,NL
2000-04,95.8,NL
2000-05,95.7,NL
2000-06,96.6,NL
2000-07,97,NL
2000-08,97,NL
2000-09,97.3,NL
2000-10,97.4,NL
2000-11,97.5,NL
