Month-Year,Overnight money market financing
1998-07,4.775483870967742
1998-08,4.9309677419354845
1998-09,5.715
1998-10,5.398387096774194
1998-11,5.155666666666667
1998-12,5.036774193548387
1999-01,5.030322580645161
1999-02,4.991785714285714
1999-03,5.010645161290322
1999-04,4.8100000000000005
1999-05,4.637419354838709
1999-06,4.589666666666667
1999-07,4.608064516129032
1999-08,4.637096774193548
1999-09,4.593333333333334
1999-10,4.591612903225807
1999-11,4.679666666666666
1999-12,4.76516129032258
2000-01,4.761290322580645
2000-02,4.965862068965517
2000-03,5.073225806451613
2000-04,5.2556666666666665
2000-05,5.4958064516129035
2000-06,5.7476666666666665
2000-07,5.734516129032259
2000-08,5.7458064516129035
2000-09,5.756666666666666
2000-10,5.760967741935484
2000-11,5.748333333333333
2000-12,5.759032258064516
2001-01,5.67
